YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
202205,167225,1012157,1,2.74,"NE","TAMINA",30.21,-95.4,3012600,9524000
202205,167228,1022479,1,1.53,"ENE","LINE KILN",34.7758,-88.0039,3446548,88234
202205,167215,1012076,1,.9,"SE","ELDEN",39.6198,-79.3896,3937188,7923376
202205,167198,1011976,1,3,"NW","ROCK CREEK",41.7007,-80.9111,4142042,8054666
202205,167215,1012075,1,1.42,"SSE","NEELER GLADE",39.6117,-79.4678,3936702,7928068
202206,168147,1018084,1,2.82,"S","BARTLETTSVILLE",38.93,-86.44,3855800,8626400
202206,168147,1018085,1,1.27,"WNW","TAYLORSVILLE",39.31,-85.97,3918600,8558200
202206,168147,1018086,1,.53,"W","EDINBURG",39.35,-85.98,3921000,8558800
202206,168180,1018080,1,1.47,"SSW","DEARBORN HGTS",42.35,-83.29,4221000,8317400
202206,168180,1018081,1,1.02,"E","DETROIT",42.33,-83.05,4219800,833000
202206,168180,1028834,1,.86,"SE","GROSSE PT PARK",42.36,-82.91,4221600,8254600
202206,168180,1028837,1,.23,"N","GROSSE PT SHRS",42.4333,-82.8705,4225998,8252230
202206,168180,1028838,1,2.07,"S","NANKIN MILLS",42.32,-83.38,4219200,8322800
202206,168180,1028841,1,2,"SSE","GARDEN CITY",42.293,-83.316,4217580,8318960
202206,168180,1028843,1,.38,"SW","DEARBORN HGTS",42.366,-83.285,4221960,8317100
202206,168184,1018115,1,1.39,"N","CONNERSVILLE",39.6698,-85.1254,3940188,857524
202206,168184,1018116,1,2.61,"SW","EAST RICHMOND ARPT",39.79,-84.86,3947400,8451600
202206,168184,1018117,1,1.43,"NE","CONNERSVILLE",39.6646,-85.111,3939876,856660
202206,168184,1018117,2,1.48,"NE","CONNERSVILLE",39.665,-85.11,3939900,856600
202206,168184,1018117,3,1.43,"NE","CONNERSVILLE",39.6637,-85.11,3939822,856600
202206,168184,1018117,4,1.38,"NE","CONNERSVILLE",39.664,-85.1115,3939840,856690
202206,168184,1018118,1,1.37,"E","WATERLOO",39.7011,-85.0743,3942066,854458
202206,168184,1018118,2,1.37,"E","WATERLOO",39.698,-85.0743,3941880,854458
202206,168184,1018118,3,1.67,"E","WATERLOO",39.6984,-85.0686,3941904,854116
202206,168184,1018118,4,1.61,"E","WATERLOO",39.7014,-85.0698,3942084,854188
202206,168185,1018119,1,0,"N","BROOKSVILLE",38.68,-84.07,3840800,844200
202205,167228,1022483,1,1.15,"SW","HILLSBORO",34.6174,-87.1931,3437044,8711586
202205,167228,1022484,1,1,"NNW","COURTLAND AIRFIELD",34.6837,-87.3358,3441022,8720148
202202,165238,998470,4,2.14,"WNW","OWENTON",38.5408,-84.867,3832448,8452020
202202,165238,998471,1,2.07,"N","KNOXVILLE",38.73,-84.5,3843800,8430000
202202,165238,998471,2,2.42,"N","KNOXVILLE",38.7349,-84.5039,3844094,8430234
202202,165238,998471,3,1.92,"S","GARDNERSVILLE",38.7423,-84.5027,3844538,8430162
202202,165238,998471,4,1.89,"S","GARDNERSVILLE",38.7427,-84.4996,3844562,8429976
202202,165238,998472,1,1.76,"WNW","PORTLAND",38.76,-84.46,3845600,8427600
202202,165238,998472,2,2,"E","GARDNERSVILLE",38.7658,-84.4634,3845948,8427804
202202,165238,998472,3,1.89,"NW","PORTLAND",38.7669,-84.4575,3846014,8427450
202202,165238,998472,4,1.47,"NW","PORTLAND",38.763,-84.4516,3845780,8427096
202202,165238,998473,1,1.75,"NW","MORANBURG",38.69,-83.82,3841400,8349200
202202,165238,998473,2,2.24,"NNW","MORANBURG",38.6978,-83.8213,3841868,8349278
202202,165238,998473,3,1.53,"N","MORANBURG",38.692,-83.8026,3841520,8348156
202202,165238,998473,4,1.33,"N","MORANBURG",38.689,-83.8044,3841340,8348264
202202,165238,998474,1,.58,"NE","SOUTHGATE",39.0553,-84.4415,393318,8426490
202202,165238,998474,2,.51,"NW","BRENT",39.0551,-84.437,393306,8426220
202202,165238,998474,3,.48,"NNW","BRENT",39.0558,-84.435,393348,8426100
202202,165238,998474,4,.59,"NNW","BRENT",39.0574,-84.4356,393444,8426136
202202,165238,998475,1,.23,"E","SANTA FE",38.58,-84.1157,3834800,846942
202202,165238,998475,2,1.21,"SSE","SANTA FE",38.5645,-84.1095,3833870,846570
202202,165238,998475,3,1.95,"WSW","MILFORD",38.5705,-84.1841,3834230,8411046
202202,165238,998475,4,1.78,"WNW","MILFORD",38.5889,-84.181,3835334,8410860
202202,165238,998475,5,.98,"NNW","SANTA FE",38.592,-84.1295,3835520,847770
202202,165246,1008980,1,11,"ENE","ZORTMAN",47.9809,-108.3104,4758854,10818624
202202,165246,1008983,1,11,"ENE","ZORTMAN",47.9809,-108.3104,4758854,10818624
202202,165246,1008993,1,1,"ESE","PHILLIPS",48.0745,-108.15,484470,1089000
202202,165246,1008995,1,1,"NNE","GLASGOW",48.2134,-106.6217,4812804,10637302
202202,165246,1008996,1,1,"NNE","GLASGOW",48.2134,-106.6217,4812804,10637302
202202,165246,1008997,1,2,"WNW","MALTA",48.3611,-107.9102,4821666,10754612
202202,165254,998681,1,0,"N","OLGA",37.1,-92.92,376000,9255200
202202,165254,998681,2,.36,"SSE","OLGA",37.0952,-92.9175,375712,9255050
202202,165254,998681,3,.49,"SSW","OLGA",37.0932,-92.9227,375592,9255362
202202,165254,998681,4,.3,"WSW","OLGA",37.0983,-92.925,375898,9255500
202202,165254,998682,1,.88,"NE","ANN",37.04,-92.19,372400,9211400
202202,165254,998682,2,.75,"NE","ANN",37.0388,-92.192,372328,9211520
202202,165254,998682,3,.71,"NE","ANN",37.0365,-92.1901,372190,9211406
202202,165254,998682,4,.92,"NE","ANN",37.0387,-92.1874,372322,9211244
202202,165254,998683,1,.55,"E","SLIGO",37.78,-91.37,3746800,9122200
202202,165254,998683,2,.96,"SE","SLIGO",37.7712,-91.3664,3746272,9121984
202202,165254,998683,3,.62,"SSE","SLIGO",37.7714,-91.3766,3746284,9122596
202202,165254,998683,4,.23,"E","SLIGO",37.7794,-91.3759,3746764,9122554
202202,165254,998684,1,2.3,"ENE","RAT",37.39,-91.19,3723400,9111400
202202,165254,998684,2,2.32,"ENE","RAT",37.3896,-91.1895,3723376,9111370
202202,165254,998684,3,2.28,"ENE","RAT",37.3893,-91.1901,3723358,9111406
202202,165254,998684,4,2.28,"ENE","RAT",37.3898,-91.1904,3723388,9111424
202202,165254,998685,1,2.76,"W","AVA MUNI MEML ARPT",36.97,-92.73,3658200,9243800
202202,165254,998685,2,2.26,"W","AVA MUNI MEML ARPT",36.9654,-92.7206,3657924,9243236
202202,165254,998685,3,2.49,"WSW","AVA MUNI MEML ARPT",36.9621,-92.724,3657726,9243440
202202,165254,998685,4,2.61,"NNE","ARNO",36.9647,-92.7314,3657882,9243884
202202,165254,998686,1,1.49,"SSE","OLATHE",37.01,-92.52,37600,9231200
202202,165254,998686,2,1.55,"SSE","OLATHE",37.009,-92.5198,37540,9231188
202202,165254,998686,3,1.52,"SSE","OLATHE",37.0091,-92.5218,37546,9231308
202202,165254,998686,4,1.45,"SSE","OLATHE",37.0102,-92.5214,37612,9231284
202202,165254,998687,1,4.42,"NE","MANSFIELD",37.17,-92.53,3710200,9231800
202202,165254,998687,2,3.94,"NE","MANSFIELD",37.1648,-92.5358,379888,9232148
202202,165254,998687,3,4.22,"NE","MANSFIELD",37.1637,-92.5266,379822,9231596
202202,165254,998687,4,4.53,"NE","MANSFIELD",37.1684,-92.5243,3710104,9231458
202202,165254,998688,1,1.79,"WNW","RAYBORN",37.31,-92.4,3718600,9224000
202202,165254,998688,2,1.61,"WNW","RAYBORN",37.3128,-92.3944,3718768,9223664
202202,165254,998688,3,2,"WNW","RAYBORN",37.3158,-92.4004,3718948,9224024
202202,165254,998688,4,2.08,"WNW","RAYBORN",37.3135,-92.4038,3718810,9224228
202202,165254,998689,1,1.79,"ENE","AVA",36.96,-92.62,3657600,9237200
202202,165254,998689,2,1.31,"ENE","AVA",36.9553,-92.6271,3657318,9237626
202202,165254,998689,3,1.65,"E","AVA",36.9526,-92.6203,3657156,9237218
202202,165254,998689,4,1.89,"ENE","AVA",36.9567,-92.6168,3657402,9237008
202202,165254,998691,1,2.82,"WNW","STONE HILL",37.61,-91.4,3736600,9124000
202202,165254,998691,2,2.61,"WNW","STONE HILL",37.61,-91.3959,3736600,9123754
202202,165254,998691,3,2.71,"WNW","STONE HILL",37.6127,-91.3968,3736762,9123808
202202,165254,998691,4,2.91,"WNW","STONE HILL",37.6129,-91.4005,3736774,9124030
202202,165254,998692,1,1.1,"W","CLEAR SPGS",37.1,-91.89,376000,9153400
202202,165254,998692,2,1.33,"WSW","CLEAR SPGS",37.0962,-91.8936,375772,9153616
202202,165254,998692,3,1.78,"W","CLEAR SPGS",37.0996,-91.9023,375976,9154138
202202,165254,998692,4,1.52,"W","CLEAR SPGS",37.104,-91.8972,376240,9153832
202202,165254,998693,1,.88,"SE","MACOMB",37.09,-92.49,375400,9229400
202202,165254,998693,2,1.02,"SE","MACOMB",37.0878,-92.4896,375268,9229376
202202,165254,998693,3,.88,"SSE","MACOMB",37.0879,-92.4952,375274,9229712
